Date : 2025-03-20 17:30:29
Directory : c:\project\stepin-template-main\src\packages
Total : 367 files,  18955 codes, 2030 comments, 679 blanks, all 21664 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\project\stepin-template-main\src\packages\formEditor\components\Panels\Fields\index.jsx                          | JavaScript JSX |        107 |          8 |          1 |        116 |
| c:\project\stepin-template-main\src\packages\formEditor\components\Selection\selectElement.tsx                      | TypeScript JSX |        425 |         46 |          5 |        476 |
| c:\project\stepin-template-main\src\packages\formEditor\config.tsx                                                  | TypeScript JSX |         99 |          0 |          0 |         99 |
| c:\project\stepin-template-main\src\packages\formEditor\defaultProps.ts                                             | TypeScript     |         56 |          0 |          1 |         57 |
| c:\project\stepin-template-main\src\packages\formEditor\formEditor.tsx                                              | TypeScript JSX |        614 |         21 |          5 |        640 |
| c:\project\stepin-template-main\src\packages\formEditor\formTab.tsx                                                 | TypeScript JSX |         25 |          0 |          1 |         26 |
| c:\project\stepin-template-main\src\packages\formEditor\formType.ts                                                 | TypeScript     |         18 |          0 |          2 |         20 |
| c:\project\stepin-template-main\src\packages\formEditor\generatorData.ts                                            | TypeScript     |         26 |          2 |          1 |         29 |
| c:\project\stepin-template-main\src\packages\formEditor\index.ts                                                    | TypeScript     |         15 |          6 |          1 |         22 |
| c:\project\stepin-template-main\src\packages\formEditor\locale\en.ts                                                | TypeScript     |        289 |          0 |          1 |        290 |
| c:\project\stepin-template-main\src\packages\formEditor\locale\index.ts                                             | TypeScript     |          8 |          1 |          1 |         10 |
| c:\project\stepin-template-main\src\packages\formEditor\locale\zh-cn.ts                                             | TypeScript     |        289 |          0 |          1 |        290 |
| c:\project\stepin-template-main\src\packages\formEditor\node.ts                                                     | TypeScript     |          6 |          1 |          3 |         10 |
| c:\project\stepin-template-main\src\packages\formEditor\preview.tsx                                                 | TypeScript JSX |        155 |          7 |          1 |        163 |
| c:\project\stepin-template-main\src\packages\formEditor\style\index.js                                              | JavaScript     |          3 |          1 |          1 |          5 |
| c:\project\stepin-template-main\src\packages\formEditor\testData.ts                                                 | TypeScript     |      1,117 |        864 |         10 |      1,991 |
| c:\project\stepin-template-main\src\packages\formitem.ts                                                            | TypeScript     |        220 |          5 |          6 |        231 |
| c:\project\stepin-template-main\src\packages\hooks\index.ts                                                         | TypeScript     |         20 |          1 |          0 |         21 |
| c:\project\stepin-template-main\src\packages\hooks\use-css\index.ts                                                 | TypeScript     |        172 |          0 |          1 |        173 |
| c:\project\stepin-template-main\src\packages\hooks\use-fetch\index.ts                                               | TypeScript     |         30 |          2 |          1 |         33 |
| c:\project\stepin-template-main\src\packages\hooks\use-history\index.ts                                             | TypeScript     |         79 |          8 |          1 |         88 |
| c:\project\stepin-template-main\src\packages\hooks\use-i18n\index.ts                                                | TypeScript     |         16 |          9 |          2 |         27 |
| c:\project\stepin-template-main\src\packages\hooks\use-logic\index.ts                                               | TypeScript     |        333 |         17 |          1 |        351 |
| c:\project\stepin-template-main\src\packages\hooks\use-namespace\index.ts                                           | TypeScript     |         36 |          0 |          1 |         37 |
| c:\project\stepin-template-main\src\packages\hooks\use-props\index.ts                                               | TypeScript     |        385 |        170 |          5 |        560 |
| c:\project\stepin-template-main\src\packages\hooks\use-target\index.ts                                              | TypeScript     |         37 |          0 |          5 |         42 |
| c:\project\stepin-template-main\src\packages\icon\__index.vue                                                       | Vue            |         28 |          4 |          3 |         35 |
| c:\project\stepin-template-main\src\packages\icon\index.js                                                          | JavaScript     |          2 |          1 |          1 |          4 |
| c:\project\stepin-template-main\src\packages\icon\index.vue                                                         | Vue            |         44 |          5 |          3 |         52 |
| c:\project\stepin-template-main\src\packages\icon\svg\ID.svg                                                        | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\PC.svg                                                        | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\Rank.svg                                                      | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\arrowDown.svg                                                 | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\arrowDownBold.svg                                             | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\arrowLeft.svg                                                 | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\arrowLeftBold.svg                                             | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\arrowRight.svg                                                | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\arrowRightBold.svg                                            | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\arrowUp.svg                                                   | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\arrowUpBold .svg                                              | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\arrowUpBold.svg                                               | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\back.svg                                                      | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\bottom.svg                                                    | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\bottomLeft .svg                                               | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\bottomRight.svg                                               | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\calendar.svg                                                  | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\cascader.svg                                                  | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\cellphone.svg                                                 | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\checkbox.svg                                                  | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\circleClose.svg                                               | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\circleMinus.svg                                               | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\circlePlus.svg                                                | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\clear0.svg                                                    | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\clear1.svg                                                    | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\collapse.svg                                                  | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\copy.svg                                                      | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\delete.svg                                                    | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\divider.svg                                                   | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\dividerLocationP1.svg                                         | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\dividerLocationP2.svg                                         | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\dividerLocationP3.svg                                         | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\doubleArrowLeft.svg                                           | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\doubleArrowRight.svg                                          | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\drag.svg                                                      | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\dragWidth.svg                                                 | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\dropUp0.svg                                                   | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\dropdown0.svg                                                 | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\email.svg                                                     | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\grid.svg                                                      | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\horizontalLayoutP1.svg                                        | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\horizontalLayoutP2.svg                                        | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\horizontalLayoutP3.svg                                        | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\horizontalLayoutP4.svg                                        | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\horizontalLayoutP5.svg                                        | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\html.svg                                                      | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\index.js                                                      | JavaScript     |          8 |          0 |          1 |          9 |
| c:\project\stepin-template-main\src\packages\icon\svg\input.svg                                                     | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\label.svg                                                     | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\labelStructureP1.svg                                          | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\labelStructureP2.svg                                          | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\labelStructureP3.svg                                          | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\language.svg                                                  | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\lineThickness.svg                                             | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\location.svg                                                  | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\minus.svg                                                     | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\minusBold.svg                                                 | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\move1.svg                                                     | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\numberButtonP1.svg                                            | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\numberButtonP2.svg                                            | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\numbers.svg                                                   | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\plus.svg                                                      | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\plusBold.svg                                                  | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\preview.svg                                                   | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\radio.svg                                                     | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\radius.svg                                                    | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\rating.svg                                                    | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\redo.svg                                                      | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\right.svg                                                     | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\save.svg                                                      | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\search.svg                                                    | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\signature.svg                                                 | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\slider.svg                                                    | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\sort.svg                                                      | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\spaceBottom.svg                                               | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\spaceLeft.svg                                                 | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\spaceRight.svg                                                | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\spaceTop.svg                                                  | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\subform.svg                                                   | XML            |          1 |          0 |          1 |          2 |
| c:\project\stepin-template-main\src\packages\icon\svg\switch.svg                                                    | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\tabStyleP1.svg                                                | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\tabStyleP2.svg                                                | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\tabStyleP3.svg                                                | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\table.svg                                                     | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\tableInsertCol.svg                                            | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\tableInsertRow.svg                                            | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\tableOperation.svg                                            | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\tableStokeP1.svg                                              | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\tableStokeP2.svg                                              | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\tableStokeP3.svg                                              | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\tableStokeP4.svg                                              | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\tableStokeP5.svg                                              | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\tableStokeP6.svg                                              | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\tableStokeP7.svg                                              | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\tableStokeP8.svg                                              | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\tabsLocationP1.svg                                            | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\tabsLocationP2.svg                                            | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\tabsLocationP3.svg                                            | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\tabsLocationP4.svg                                            | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\textarea.svg                                                  | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\time.svg                                                      | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\title.svg                                                     | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\top.svg                                                       | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\topLeft.svg                                                   | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\topRight.svg                                                  | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\undo.svg                                                      | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\upload.svg                                                    | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\url.svg                                                       | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\widthRatioP1.svg                                              | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\widthRatioP2.svg                                              | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\widthRatioP3.svg                                              | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\widthRatioP4.svg                                              | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\widthRatioP5.svg                                              | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\widthRatioP6.svg                                              | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\zoomIn.svg                                                    | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\icon\svg\zoomOut.svg                                                   | XML            |          1 |          0 |          0 |          1 |
| c:\project\stepin-template-main\src\packages\layoutType.ts                                                          | TypeScript     |        130 |          0 |         16 |        146 |
| c:\project\stepin-template-main\src\packages\region\Region.js                                                       | JavaScript     |         72 |          0 |          5 |         77 |
| c:\project\stepin-template-main\src\packages\region\index.js                                                        | JavaScript     |          5 |          0 |          1 |          6 |
| c:\project\stepin-template-main\src\packages\region\index.vue                                                       | Vue            |        424 |          5 |         10 |        439 |
| c:\project\stepin-template-main\src\packages\region\node.js                                                         | JavaScript     |         51 |          0 |          7 |         58 |
| c:\project\stepin-template-main\src\packages\region\store.js                                                        | JavaScript     |        131 |          8 |         19 |        158 |
| c:\project\stepin-template-main\src\packages\region\style\index.js                                                  | JavaScript     |          2 |          1 |          1 |          4 |
| c:\project\stepin-template-main\src\packages\theme\base.scss                                                        | SCSS           |         45 |          0 |          1 |         46 |
| c:\project\stepin-template-main\src\packages\theme\ckeditor\index.scss                                              | SCSS           |         48 |          1 |          1 |         50 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\Canves.scss                                           | SCSS           |         69 |          7 |          1 |         77 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\CollapseLayout.scss                                   | SCSS           |          6 |          0 |          1 |          7 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\Config.scss                                           | SCSS           |         85 |         22 |          1 |        108 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\ConfigAllsides.scss                                   | SCSS           |         18 |          0 |          1 |         19 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\ConfigBackground.scss                                 | SCSS           |         87 |          4 |          1 |         92 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\ConfigBorder.scss                                     | SCSS           |         23 |          0 |          1 |         24 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\ConfigCheckboxComponent.scss                          | SCSS           |         17 |          7 |          1 |         25 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\ConfigCollapseComponent.scss                          | SCSS           |         23 |         28 |          1 |         52 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\ConfigData1.scss                                      | SCSS           |         54 |          0 |          2 |         56 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\ConfigData2.scss                                      | SCSS           |         71 |         11 |          1 |         83 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\ConfigData3.scss                                      | SCSS           |         33 |          3 |          1 |         37 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\ConfigGridLayoutComponent.scss                        | SCSS           |          3 |          0 |          1 |          4 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\ConfigLogicComponent.scss                             | SCSS           |         65 |          0 |          1 |         66 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\ConfigSubformDefaultValueComponent.scss               | SCSS           |         15 |          0 |          1 |         16 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\ConfigTypeComponent.scss                              | SCSS           |         64 |          7 |          1 |         72 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\DeviceSwitch.scss                                     | SCSS           |         26 |         29 |          1 |         56 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\DragGableLayout.scss                                  | SCSS           |         17 |          3 |          1 |         21 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\Fields.scss                                           | SCSS           |         67 |          0 |          1 |         68 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\FormTypes\Cascader.scss                               | SCSS           |         22 |          0 |          1 |         23 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\FormTypes\Checkbox.scss                               | SCSS           |         13 |          0 |          1 |         14 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\FormTypes\Date.scss                                   | SCSS           |          6 |          0 |          2 |          8 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\FormTypes\Divider.scss                                | SCSS           |          7 |          2 |          1 |         10 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\FormTypes\Html.scss                                   | SCSS           |          7 |          1 |          1 |          9 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\FormTypes\Number.scss                                 | SCSS           |          6 |          0 |          1 |          7 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\FormTypes\Other.scss                                  | SCSS           |         14 |          0 |          1 |         15 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\FormTypes\Radio.scss                                  | SCSS           |         12 |          0 |          1 |         13 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\FormTypes\Region.scss                                 | SCSS           |          6 |          0 |          1 |          7 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\FormTypes\Select.scss                                 | SCSS           |         21 |          0 |          1 |         22 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\FormTypes\Signature.scss                              | SCSS           |         52 |          0 |          1 |         53 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\FormTypes\Slider.scss                                 | SCSS           |         16 |          0 |          1 |         17 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\FormTypes\Time.scss                                   | SCSS           |          6 |          0 |          1 |          7 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\GlobalConfigPanel.scss                                | SCSS           |         90 |         12 |          1 |        103 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\GridLayout.scss                                       | SCSS           |          5 |          1 |          1 |          7 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\Icon.scss                                             | SCSS           |          7 |          0 |          1 |          8 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\IconFont.scss                                         | SCSS           |        143 |          0 |         41 |        184 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\InlineLayout.scss                                     | SCSS           |          7 |          1 |          1 |          9 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\Main.scss                                             | SCSS           |        144 |          4 |          1 |        149 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\PropsPanel.scss                                       | SCSS           |         31 |          0 |          1 |         32 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\SelectElement.scss                                    | SCSS           |         79 |         12 |          1 |         92 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\SubformLayout.scss                                    | SCSS           |         53 |          6 |          1 |         60 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\TableLayout.scss                                      | SCSS           |         12 |          0 |          1 |         13 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\TabsLayout.scss                                       | SCSS           |          9 |          3 |          1 |         13 |
| c:\project\stepin-template-main\src\packages\theme\formEditor\index.scss                                            | SCSS           |         41 |          0 |          2 |         43 |
| c:\project\stepin-template-main\src\packages\theme\icon.scss                                                        | SCSS           |         18 |          0 |          1 |         19 |
| c:\project\stepin-template-main\src\packages\theme\region\Main.scss                                                 | SCSS           |        104 |          2 |          1 |        107 |
| c:\project\stepin-template-main\src\packages\theme\region\index.scss                                                | SCSS           |          2 |          1 |          1 |          4 |
| c:\project\stepin-template-main\src\packages\type.ts                                                                | TypeScript     |         88 |          1 |          6 |         95 |
| c:\project\stepin-template-main\src\packages\utils\Context.ts                                                       | TypeScript     |        942 |         19 |          2 |        963 |
| c:\project\stepin-template-main\src\packages\utils\addContext.ts                                                    | TypeScript     |         15 |          2 |          0 |         17 |
| c:\project\stepin-template-main\src\packages\utils\device.js                                                        | JavaScript     |          4 |          0 |          1 |          5 |
| c:\project\stepin-template-main\src\packages\utils\field copy.js                                                    | JavaScript     |        264 |          2 |          1 |        267 |
| c:\project\stepin-template-main\src\packages\utils\field.ts                                                         | TypeScript     |        271 |          5 |          2 |        278 |
| c:\project\stepin-template-main\src\packages\utils\fileData.ts                                                      | TypeScript     |         31 |          0 |          1 |         32 |
| c:\project\stepin-template-main\src\packages\utils\generateOptions.js                                               | JavaScript     |         26 |          0 |          1 |         27 |
| c:\project\stepin-template-main\src\packages\utils\index.js                                                         | JavaScript     |         27 |         16 |          1 |         44 |
| c:\project\stepin-template-main\src\packages\utils\logic.js                                                         | JavaScript     |         47 |          0 |          2 |         49 |
| c:\project\stepin-template-main\src\packages\utils\nanoid.js                                                        | JavaScript     |          5 |          0 |          1 |          6 |
| c:\project\stepin-template-main\src\packages\utils\test.js                                                          | JavaScript     |         23 |          0 |          1 |         24 |
| c:\project\stepin-template-main\src\packages\utils\utils.ts                                                         | TypeScript     |         27 |          0 |          1 |         28 |
| c:\project\stepin-template-main\src\packages\vueDraggable\core\componentBuilderHelper.js                            | JavaScript     |         42 |          0 |          6 |         48 |
| c:\project\stepin-template-main\src\packages\vueDraggable\core\componentStructure.js                                | JavaScript     |         60 |          0 |         10 |         70 |
| c:\project\stepin-template-main\src\packages\vueDraggable\core\renderHelper.js                                      | JavaScript     |         51 |          0 |          6 |         57 |
| c:\project\stepin-template-main\src\packages\vueDraggable\core\sortableEvents.js                                    | JavaScript     |         15 |          0 |          4 |         19 |
| c:\project\stepin-template-main\src\packages\vueDraggable\util\console.js                                           | JavaScript     |          8 |          0 |          2 |         10 |
| c:\project\stepin-template-main\src\packages\vueDraggable\util\htmlHelper.js                                        | JavaScript     |         13 |          0 |          3 |         16 |
| c:\project\stepin-template-main\src\packages\vueDraggable\util\string.js                                            | JavaScript     |         10 |          0 |          3 |         13 |
| c:\project\stepin-template-main\src\packages\vueDraggable\util\tags.js                                              | JavaScript     |        134 |          0 |          5 |        139 |
| c:\project\stepin-template-main\src\packages\vueDraggable\vuedraggable.d.ts                                         | TypeScript     |         74 |          0 |          1 |         75 |
| c:\project\stepin-template-main\src\packages\vueDraggable\vuedraggable.ts                                           | TypeScript     |        287 |         11 |         38 |        336 |
| Total                                                                                                               |                |     18,955 |      2,030 |        679 |     21,664 |
+---------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
